user_input,reference_contexts,reference,synthesizer_name
"How does the Department handle requests for academic year duration adjustments for Title IV programs, and what are the minimum requirements for instructional weeks?","['Chapter 1 Academic Years, Academic Calendars, Payment Periods, and Disbursements Academic Year Requirements Every eligible program must have a defined academic year. A school may have different academic years for different academic programs. For example, a school may choose to define the academic year for a term-based program differently from a non-term program. In some cases, the academic year definition must be different for different programs, such as in the case of a clock-hour program and a credit-hour program. For Title IV purposes, the academic year is defined in weeks of instructional time and credit or clock hours. The program9s academic year does not have to coincide with the school9s academic calendar (see <Academic year definition and effect on awards= later in the chapter). A school may treat two versions of the same academic program (day and night, for example) as separate programs and define different academic years for each version. If a school establishes separate versions of a program, with different academic years, but allows individual students to take courses from both versions, it must be able to demonstrate which program the student is actually enrolled in. Generally, to be considered enrolled in a particular program or version of a program, a student must be taking most of their coursework in that program. Although a school may have different academic years for different programs, it must use the same academic year definition for all Title IV awards for students enrolled in a particular program, and for all other Title IV program purposes. Weeks of Instructional Time in an Academic Year For both undergraduate and graduate programs, the law and regulations require an academic year to include a minimum number of weeks of instructional time. For a program offered in credit hours, the academic year must include at least 30 weeks of instructional time. For a program offered in clock hours, the academic year must include at least 26 weeks of instructional time. Note: See Volume 2, Chapter 2 for information about academic year requirements for direct assessment programs, which do not measure academic progress using credit or clock hours. The number of weeks of instructional time is based on the period that generally begins on the first day of classes in the academic year and ends on the last day of classes or the last day of examinations, whichever is later. Schools that provide 2- or 4-year associate or baccalaureate degree programs may apply to the Department if they want to request approval to establish a full academic year of less than 30 weeks of instructional time. The Department is permitted to grant a reduction for good cause to no less than 26 weeks of instructional time. These requests are handled on a case-by-case basis. To request approval, contact the School Participation Division that oversees your school. A listing of contact information for the regional School Participation Divisions can be found in the Knowledge Center. For all Title IV programs, a week of instructional time is any period of seven consecutive days in which 3 At least one day of regularly scheduled instruction or examinations occurs, or, after the last scheduled day of classes']","Schools that provide 2- or 4-year associate or baccalaureate degree programs may apply to the Department if they want to request approval to establish a full academic year of less than 30 weeks of instructional time. The Department is permitted to grant a reduction for good cause to no less than 26 weeks of instructional time. These requests are handled on a case-by-case basis. For all Title IV programs, a week of instructional time is any period of seven consecutive days in which at least one day of regularly scheduled instruction or examinations occurs.",single_hop_specifc_query_synthesizer
What are the key differences between standard term and subscription-based academic calendars as discussed in Chapter 1?,"['non-term (includes clock-hour calendars), or subscription-based. In a standard term or nonstandard term academic calendar, a term is generally a period in which all classes are scheduled to begin and end within a set time frame, and academic progress is measured in credit hours. In a non-term academic calendar, classes do not begin and end within a set time frame, such as a term. Academic progress in a non-term program can be measured in either credit or clock hours. In some cases (as discussed below), a program with terms must be treated as a non-term program for Title IV purposes. A subscription-based academic calendar is used only by subscription-based programs. A subscription-based program is a term-based program in which the school charges a student for each term on a subscription basis with the expectation that the student will complete a specified number of credit hours (or the equivalent) during that term. However, classes in a subscription-based program are not required to begin or end within a specific timeframe in each term, as is the case in a term-based calendar that is not subscription-based. For more detail on subscription-based programs, see Volume 2, Chapter 2. A subscription-based academic calendar consists of ""subscription periods"" that are either standard terms or substantially equal nonstandard terms (for guidance on when terms are considered to be substantially equal in length, see <Payment periods for programs using standard terms or substantially equal nonstandard terms= later in this chapter). Substantially equal nonstandard terms may be of any length, but if they are not at least nine weeks in length, the program must use BBAY 3 for purposes of monitoring Direct Loan annual loan limit progression (see Volume 8, Chapter 6 for more information on BBAY 3). Nonstandard terms that are not substantially equal in length are not permissible in a subscription-based academic calendar. The term ""subscription period"" is synonymous with ""term"" and ""payment period"" (payment periods are covered later in this chapter). Except for the fact that classes are not required to start and end within a term, the rules and requirements for term-based programs that are not subscription-based also apply to subscription-based programs. These requirements include: minimum and maximum term length restrictions for standard terms (see the discussion in the next section of this chapter); requirements for determining full-time enrollment (see Volume 1, Chapter 1); use of a Scheduled Academic Year (SAY), BBAY 1, BBAY 2, or BBAY 3 for monitoring Direct Loan annual loan limit progression (see Volume 8, Chapter 6); and use of Pell Grant formulas 1, 2, or 3 to calculate Pell Grant awards (see Volume 7, Chapter 4). Whether an academic calendar is standard term, nonstandard term, non-term, or subscription-based has implications for how aid is awarded and disbursed under the Title IV programs. Standard Terms: Semesters, Trimesters, and Quarters Semesters and trimesters contain between 14 and 21 weeks of instructional time. However, a summer term in a program using semesters or trimesters may contain fewer than 14 weeks. An academic calendar that uses semesters or trimesters traditionally has three terms, one each in the fall, spring, and summer, two of which comprise an academic year. For example, in a program using an SAY calendar, fall and spring would comprise an academic year. In a program using a']","In a standard term academic calendar, all classes are scheduled to begin and end within a set time frame, and academic progress is measured in credit hours. In contrast, a subscription-based academic calendar is a term-based program where the school charges a student for each term on a subscription basis, with the expectation that the student will complete a specified number of credit hours during that term. However, classes in a subscription-based program are not required to begin or end within a specific timeframe in each term. The term 'subscription period' is synonymous with 'term' and 'payment period'.",single_hop_specifc_query_synthesizer
What are the exceptions to the normal loan period and disbursement timing rules for Direct Loans when clinical work is included in a standard term?,"['Inclusion of Clinical Work in a Standard Term Periods of medical and education program clinical work which is conducted outside the classroom may not be included in a standard term, unless all of the following apply: All students in the program must participate in the practicum or clinical experience, and they must be required to complete the practicum or clinical experience as a condition for applying for licensure or authorization to practice the occupation they intend to pursue; The school has little or no control over the length or starting and ending dates of the practicum or clinical experience. This may be due to constraints imposed by outside licensing bodies or the need to accommodate schedules of entities with which students are being placed (e.g., school districts or hospitals); and Credit hours associated with the practicum or clinical experience must be associated with the term in which most of the training occurs, even if the starting and ending dates do not exactly align with the term dates and/or overlap with another term. If the clinical work meets all the above criteria, terms which include such clinical work are not required to be considered nonstandard, nor are such programs required to be considered non-term, even if the clinical work overlaps another term. This flexibility is limited to required clinical periods associated with standard term programs in medicine (including, but not limited to, allopathic, osteopathic, nursing, veterinary, dentistry, pharmacy, and physical therapy), and student teaching required to obtain a state teaching certificate. See Volume 8, Chapter 3 for additional guidance on certain exceptions to the normal loan period and disbursement timing rules for Direct Loans when clinical work that meets the criteria described above is included in a standard term. Nonstandard Terms Generally, nonstandard terms are terms that are not semesters, trimesters, or quarters. For example, a 5-week term or a 23-week term would be considered a nonstandard term because no standard term can be fewer than nine weeks or greater than 21 weeks in length. Like standard terms, nonstandard terms may be equal in length or may be of different lengths. If a program is offered in a combination of standard terms and nonstandard terms, the program is considered to be offered in nonstandard terms. Also, like standard terms, nonstandard terms may not overlap within a program. Even if a school calls its terms semesters, trimesters, or quarters, they are considered to be nonstandard terms if they do not comply with the policy on standard term length, as described earlier. For instance, a 22-week semester or an 8-week quarter must be treated as a nonstandard term, because a semester cannot contain more than 21 weeks and a quarter must include a minimum of nine weeks. Semesters, trimesters, or quarters are also considered to be nonstandard terms if academic progress is not measured in the manner normally associated with the type of term. For example, if a program is offered in 15-week semesters but measures academic progress in quarter credit hours, the semesters would be considered nonstandard terms.']","The exceptions to the normal loan period and disbursement timing rules for Direct Loans occur when clinical work that meets specific criteria is included in a standard term. This flexibility is limited to required clinical periods associated with standard term programs in fields such as medicine, nursing, veterinary, dentistry, pharmacy, and physical therapy, as well as student teaching required for a state teaching certificate. Additional guidance on these exceptions can be found in Volume 8, Chapter 3.",single_hop_specifc_query_synthesizer
Is the Federal Work-Study (FWS) Program subject to payment period requirements under Title IV?,"['Non-Term Characteristics A program that measures progress in clock hours is always treated as a non-term program. Except for subscription-based programs, a program that measures progress in credit-hours is considered to have a non- term calendar if it has: Courses that do not begin and end within a set period of time such as a term; Courses that overlap terms; Self-paced and independent study courses that overlap terms; or Sequential courses that do not begin and end within a term. Payment Periods The payment period is applicable to all Title IV programs except the Federal Work-Study (FWS) Program. For example, Title IV program disbursements (except FWS payments) must be made on a payment period basis, as discussed in detail']",The payment period is applicable to all Title IV programs except the Federal Work-Study (FWS) Program.,single_hop_specifc_query_synthesizer
Wht is the purpse of Appendix A in the context of academic program disbursements?,"['both the credit or clock hours and the weeks of instructional time in a payment period before receiving a disbursement of Pell Grant, FSEOG, TEACH Grant or Direct Loan funds for the next payment period. For the Direct Loan Program only, this same requirement applies to students who are enrolled in programs with nonstandard terms that are not substantially equal in length. Effect of Accelerated Progression on Disbursement Timing in a Clock-Hour or Non-Term Credit-Hour Program The Pell Grant or TEACH Grant amount that a student is eligible to receive for a payment period in a clock-hour or non- term credit-hour program is based on the number of hours and weeks in the scheduled payment periods for the program that are established at the beginning of the program based on the program length (as described earlier in this chapter). These scheduled payment periods do not change, regardless of a student9s rate of progression through a clock-hour or non-term credit-hour program. This means that if a student completes additional weeks of instructional time or hours while completing the other measure of a payment period, the actual number of weeks or hours that the student completes before a disbursement can be made for the next payment period may differ from the number of weeks or hours in the scheduled payment period used to determine the student9s grant amount for the payment period. Although a student9s completion of additional weeks or hours in a payment period has no effect on the scheduled payment periods for purposes of determining Pell Grant and TEACH Grant payment amounts, an undergraduate student who accelerates in a clock-hour or non-term credit-hour program may have reduced Direct Loan eligibility in the final academic year of a program. Specifically, if a student enrolled in a program that is greater than one academic year in length completes additional clock or credit hours prior to the final academic year of the program, this may result in a final period of study that contains fewer clock or credit hours than the number of hours in the program9s defined academic year. In this circumstance, the Direct Loan annual loan limit for an undergraduate student must be prorated (reduced). The principles described above are illustrated by the examples in Appendix A at the end of this chapter. For guidance on calculating Pell Grant and TEACH Grant awards for clock-hour and non-term credit-hour programs, see Volume 7. For information on Direct Loan annual loan limit proration and annual loan limit progression in clock-hour and non-term credit- hour programs, see Volume 8, Chapters 5 and 6. If your school is unable to determine when a student has successfully completed half of the credit or clock hours in a program, academic year, or remainder of a program, the student is considered to have begun the second payment period of the program, academic year, or remainder of a program at the later of the date (identified by your school) that the student has successfully completed: half of the academic coursework in the program, academic year, or remainder of the program; or half of the number of weeks of instructional time in the program, academic year, or remainder of the program.']",Appendix A illustrates the principles described regarding the effect of accelerated progression on disbursement timing in clock-hour or non-term credit-hour programs.,single_hop_specifc_query_synthesizer
"How does the inclusion of clinical work in a standard term affect the classification of a program as non-term, and what are the characteristics that define a non-term program?","['<1-hop>\n\nInclusion of Clinical Work in a Standard Term Periods of medical and education program clinical work which is conducted outside the classroom may not be included in a standard term, unless all of the following apply: All students in the program must participate in the practicum or clinical experience, and they must be required to complete the practicum or clinical experience as a condition for applying for licensure or authorization to practice the occupation they intend to pursue; The school has little or no control over the length or starting and ending dates of the practicum or clinical experience. This may be due to constraints imposed by outside licensing bodies or the need to accommodate schedules of entities with which students are being placed (e.g., school districts or hospitals); and Credit hours associated with the practicum or clinical experience must be associated with the term in which most of the training occurs, even if the starting and ending dates do not exactly align with the term dates and/or overlap with another term. If the clinical work meets all the above criteria, terms which include such clinical work are not required to be considered nonstandard, nor are such programs required to be considered non-term, even if the clinical work overlaps another term. This flexibility is limited to required clinical periods associated with standard term programs in medicine (including, but not limited to, allopathic, osteopathic, nursing, veterinary, dentistry, pharmacy, and physical therapy), and student teaching required to obtain a state teaching certificate. See Volume 8, Chapter 3 for additional guidance on certain exceptions to the normal loan period and disbursement timing rules for Direct Loans when clinical work that meets the criteria described above is included in a standard term. Nonstandard Terms Generally, nonstandard terms are terms that are not semesters, trimesters, or quarters. For example, a 5-week term or a 23-week term would be considered a nonstandard term because no standard term can be fewer than nine weeks or greater than 21 weeks in length. Like standard terms, nonstandard terms may be equal in length or may be of different lengths. If a program is offered in a combination of standard terms and nonstandard terms, the program is considered to be offered in nonstandard terms. Also, like standard terms, nonstandard terms may not overlap within a program. Even if a school calls its terms semesters, trimesters, or quarters, they are considered to be nonstandard terms if they do not comply with the policy on standard term length, as described earlier. For instance, a 22-week semester or an 8-week quarter must be treated as a nonstandard term, because a semester cannot contain more than 21 weeks and a quarter must include a minimum of nine weeks. Semesters, trimesters, or quarters are also considered to be nonstandard terms if academic progress is not measured in the manner normally associated with the type of term. For example, if a program is offered in 15-week semesters but measures academic progress in quarter credit hours, the semesters would be considered nonstandard terms.', '<2-hop>\n\nNon-Term Characteristics A program that measures progress in clock hours is always treated as a non-term program. Except for subscription-based programs, a program that measures progress in credit-hours is considered to have a non- term calendar if it has: Courses that do not begin and end within a set period of time such as a term; Courses that overlap terms; Self-paced and independent study courses that overlap terms; or Sequential courses that do not begin and end within a term. Payment Periods The payment period is applicable to all Title IV programs except the Federal Work-Study (FWS) Program. For example, Title IV program disbursements (except FWS payments) must be made on a payment period basis, as discussed in detail']","The inclusion of clinical work in a standard term does not necessarily require the program to be classified as non-term, provided certain conditions are met. These conditions include that all students must participate in the clinical experience, it must be required for licensure, the school has little control over the scheduling, and credit hours are associated with the term where most training occurs. If these criteria are satisfied, the program can remain a standard term even if the clinical work overlaps another term. On the other hand, a program is considered non-term if it measures progress in clock hours or if it has courses that do not begin and end within a set period, overlap terms, or are self-paced and independent study courses that overlap terms. Additionally, sequential courses that do not fit within a term also contribute to a program being classified as non-term.",multi_hop_abstract_query_synthesizer
How clinical work can be included in a standard term and what makes a program non-term?,"['<1-hop>\n\nInclusion of Clinical Work in a Standard Term Periods of medical and education program clinical work which is conducted outside the classroom may not be included in a standard term, unless all of the following apply: All students in the program must participate in the practicum or clinical experience, and they must be required to complete the practicum or clinical experience as a condition for applying for licensure or authorization to practice the occupation they intend to pursue; The school has little or no control over the length or starting and ending dates of the practicum or clinical experience. This may be due to constraints imposed by outside licensing bodies or the need to accommodate schedules of entities with which students are being placed (e.g., school districts or hospitals); and Credit hours associated with the practicum or clinical experience must be associated with the term in which most of the training occurs, even if the starting and ending dates do not exactly align with the term dates and/or overlap with another term. If the clinical work meets all the above criteria, terms which include such clinical work are not required to be considered nonstandard, nor are such programs required to be considered non-term, even if the clinical work overlaps another term. This flexibility is limited to required clinical periods associated with standard term programs in medicine (including, but not limited to, allopathic, osteopathic, nursing, veterinary, dentistry, pharmacy, and physical therapy), and student teaching required to obtain a state teaching certificate. See Volume 8, Chapter 3 for additional guidance on certain exceptions to the normal loan period and disbursement timing rules for Direct Loans when clinical work that meets the criteria described above is included in a standard term. Nonstandard Terms Generally, nonstandard terms are terms that are not semesters, trimesters, or quarters. For example, a 5-week term or a 23-week term would be considered a nonstandard term because no standard term can be fewer than nine weeks or greater than 21 weeks in length. Like standard terms, nonstandard terms may be equal in length or may be of different lengths. If a program is offered in a combination of standard terms and nonstandard terms, the program is considered to be offered in nonstandard terms. Also, like standard terms, nonstandard terms may not overlap within a program. Even if a school calls its terms semesters, trimesters, or quarters, they are considered to be nonstandard terms if they do not comply with the policy on standard term length, as described earlier. For instance, a 22-week semester or an 8-week quarter must be treated as a nonstandard term, because a semester cannot contain more than 21 weeks and a quarter must include a minimum of nine weeks. Semesters, trimesters, or quarters are also considered to be nonstandard terms if academic progress is not measured in the manner normally associated with the type of term. For example, if a program is offered in 15-week semesters but measures academic progress in quarter credit hours, the semesters would be considered nonstandard terms.', '<2-hop>\n\nNon-Term Characteristics A program that measures progress in clock hours is always treated as a non-term program. Except for subscription-based programs, a program that measures progress in credit-hours is considered to have a non- term calendar if it has: Courses that do not begin and end within a set period of time such as a term; Courses that overlap terms; Self-paced and independent study courses that overlap terms; or Sequential courses that do not begin and end within a term. Payment Periods The payment period is applicable to all Title IV programs except the Federal Work-Study (FWS) Program. For example, Title IV program disbursements (except FWS payments) must be made on a payment period basis, as discussed in detail']","Clinical work can be included in a standard term if all students in the program must participate in the practicum or clinical experience, it is required for licensure, the school has little control over the practicum's schedule, and credit hours are associated with the term where most training occurs. A program is considered non-term if it measures progress in clock hours, has courses that do not fit within a set term period, or includes self-paced courses that overlap terms.",multi_hop_abstract_query_synthesizer
What are the academic year requirements for standard term programs and how do they differ from non-term programs?,"['<1-hop>\n\nChapter 1 Academic Years, Academic Calendars, Payment Periods, and Disbursements Academic Year Requirements Every eligible program must have a defined academic year. A school may have different academic years for different academic programs. For example, a school may choose to define the academic year for a term-based program differently from a non-term program. In some cases, the academic year definition must be different for different programs, such as in the case of a clock-hour program and a credit-hour program. For Title IV purposes, the academic year is defined in weeks of instructional time and credit or clock hours. The program9s academic year does not have to coincide with the school9s academic calendar (see <Academic year definition and effect on awards= later in the chapter). A school may treat two versions of the same academic program (day and night, for example) as separate programs and define different academic years for each version. If a school establishes separate versions of a program, with different academic years, but allows individual students to take courses from both versions, it must be able to demonstrate which program the student is actually enrolled in. Generally, to be considered enrolled in a particular program or version of a program, a student must be taking most of their coursework in that program. Although a school may have different academic years for different programs, it must use the same academic year definition for all Title IV awards for students enrolled in a particular program, and for all other Title IV program purposes. Weeks of Instructional Time in an Academic Year For both undergraduate and graduate programs, the law and regulations require an academic year to include a minimum number of weeks of instructional time. For a program offered in credit hours, the academic year must include at least 30 weeks of instructional time. For a program offered in clock hours, the academic year must include at least 26 weeks of instructional time. Note: See Volume 2, Chapter 2 for information about academic year requirements for direct assessment programs, which do not measure academic progress using credit or clock hours. The number of weeks of instructional time is based on the period that generally begins on the first day of classes in the academic year and ends on the last day of classes or the last day of examinations, whichever is later. Schools that provide 2- or 4-year associate or baccalaureate degree programs may apply to the Department if they want to request approval to establish a full academic year of less than 30 weeks of instructional time. The Department is permitted to grant a reduction for good cause to no less than 26 weeks of instructional time. These requests are handled on a case-by-case basis. To request approval, contact the School Participation Division that oversees your school. A listing of contact information for the regional School Participation Divisions can be found in the Knowledge Center. For all Title IV programs, a week of instructional time is any period of seven consecutive days in which 3 At least one day of regularly scheduled instruction or examinations occurs, or, after the last scheduled day of classes', '<2-hop>\n\nnon-term (includes clock-hour calendars), or subscription-based. In a standard term or nonstandard term academic calendar, a term is generally a period in which all classes are scheduled to begin and end within a set time frame, and academic progress is measured in credit hours. In a non-term academic calendar, classes do not begin and end within a set time frame, such as a term. Academic progress in a non-term program can be measured in either credit or clock hours. In some cases (as discussed below), a program with terms must be treated as a non-term program for Title IV purposes. A subscription-based academic calendar is used only by subscription-based programs. A subscription-based program is a term-based program in which the school charges a student for each term on a subscription basis with the expectation that the student will complete a specified number of credit hours (or the equivalent) during that term. However, classes in a subscription-based program are not required to begin or end within a specific timeframe in each term, as is the case in a term-based calendar that is not subscription-based. For more detail on subscription-based programs, see Volume 2, Chapter 2. A subscription-based academic calendar consists of ""subscription periods"" that are either standard terms or substantially equal nonstandard terms (for guidance on when terms are considered to be substantially equal in length, see <Payment periods for programs using standard terms or substantially equal nonstandard terms= later in this chapter). Substantially equal nonstandard terms may be of any length, but if they are not at least nine weeks in length, the program must use BBAY 3 for purposes of monitoring Direct Loan annual loan limit progression (see Volume 8, Chapter 6 for more information on BBAY 3). Nonstandard terms that are not substantially equal in length are not permissible in a subscription-based academic calendar. The term ""subscription period"" is synonymous with ""term"" and ""payment period"" (payment periods are covered later in this chapter). Except for the fact that classes are not required to start and end within a term, the rules and requirements for term-based programs that are not subscription-based also apply to subscription-based programs. These requirements include: minimum and maximum term length restrictions for standard terms (see the discussion in the next section of this chapter); requirements for determining full-time enrollment (see Volume 1, Chapter 1); use of a Scheduled Academic Year (SAY), BBAY 1, BBAY 2, or BBAY 3 for monitoring Direct Loan annual loan limit progression (see Volume 8, Chapter 6); and use of Pell Grant formulas 1, 2, or 3 to calculate Pell Grant awards (see Volume 7, Chapter 4). Whether an academic calendar is standard term, nonstandard term, non-term, or subscription-based has implications for how aid is awarded and disbursed under the Title IV programs. Standard Terms: Semesters, Trimesters, and Quarters Semesters and trimesters contain between 14 and 21 weeks of instructional time. However, a summer term in a program using semesters or trimesters may contain fewer than 14 weeks. An academic calendar that uses semesters or trimesters traditionally has three terms, one each in the fall, spring, and summer, two of which comprise an academic year. For example, in a program using an SAY calendar, fall and spring would comprise an academic year. In a program using a']","For standard term programs, such as those using semesters, trimesters, or quarters, the academic year must include a minimum of 30 weeks of instructional time. These terms are generally set within a specific timeframe, with semesters and trimesters containing between 14 and 21 weeks of instructional time. In contrast, non-term programs do not have classes that begin and end within a set timeframe, and academic progress can be measured in either credit or clock hours. For clock-hour programs, the academic year must include at least 26 weeks of instructional time. The distinction between standard term and non-term programs affects how aid is awarded and disbursed under Title IV programs.",multi_hop_abstract_query_synthesizer
"How does Volume 8, Chapter 3 provide guidance on the disbursement rules for subscription-based programs and the inclusion of clinical work in standard term periods?","['<1-hop>\n\nDisbursement Timing in Subscription-Based Programs For the first two subscription periods (terms) that a student attends in a subscription-based program, there is no requirement for the student to have completed a certain amount of coursework before receiving a disbursement of Title IV funds (the same as in any other term-based program using credit hours). However, to receive a disbursement of Title IV aid for each subsequent subscription period in the program, the student must have completed a cumulative number of credit hours equal to the total of the number of hours for which the student was enrolled in all previously attended subscription periods in the program, excluding the number of hours for which the student was enrolled in the most recently attended subscription period. For more detailed guidance on the disbursement rules for subscription-based programs, including examples, refer to Appendix B at the end of this chapter. Multiple Disbursements Within a Payment Period The regulations governing the Title IV programs generally permit schools to pay Title IV funds at such times and in such installments within each payment period as will best meet students9 needs. This gives schools the ability to apportion the payment if doing so will be in the best interest of the student. For example, if a payment period is particularly long, a school might choose to pay in multiple installments to the extent program requirements permit to ensure that a student will have funds to pay rent later in the payment period. If a school chooses to schedule multiple Direct Loan disbursements within a single payment period, the disbursements must be substantially equal. Note also that if the loan period for a Direct Loan is a single payment period, the loan must be disbursed in at least two installments unless the school qualifies for an exception to the multiple disbursement requirement. See Volume 8, Chapter 3 for more', '<2-hop>\n\nInclusion of Clinical Work in a Standard Term Periods of medical and education program clinical work which is conducted outside the classroom may not be included in a standard term, unless all of the following apply: All students in the program must participate in the practicum or clinical experience, and they must be required to complete the practicum or clinical experience as a condition for applying for licensure or authorization to practice the occupation they intend to pursue; The school has little or no control over the length or starting and ending dates of the practicum or clinical experience. This may be due to constraints imposed by outside licensing bodies or the need to accommodate schedules of entities with which students are being placed (e.g., school districts or hospitals); and Credit hours associated with the practicum or clinical experience must be associated with the term in which most of the training occurs, even if the starting and ending dates do not exactly align with the term dates and/or overlap with another term. If the clinical work meets all the above criteria, terms which include such clinical work are not required to be considered nonstandard, nor are such programs required to be considered non-term, even if the clinical work overlaps another term. This flexibility is limited to required clinical periods associated with standard term programs in medicine (including, but not limited to, allopathic, osteopathic, nursing, veterinary, dentistry, pharmacy, and physical therapy), and student teaching required to obtain a state teaching certificate. See Volume 8, Chapter 3 for additional guidance on certain exceptions to the normal loan period and disbursement timing rules for Direct Loans when clinical work that meets the criteria described above is included in a standard term. Nonstandard Terms Generally, nonstandard terms are terms that are not semesters, trimesters, or quarters. For example, a 5-week term or a 23-week term would be considered a nonstandard term because no standard term can be fewer than nine weeks or greater than 21 weeks in length. Like standard terms, nonstandard terms may be equal in length or may be of different lengths. If a program is offered in a combination of standard terms and nonstandard terms, the program is considered to be offered in nonstandard terms. Also, like standard terms, nonstandard terms may not overlap within a program. Even if a school calls its terms semesters, trimesters, or quarters, they are considered to be nonstandard terms if they do not comply with the policy on standard term length, as described earlier. For instance, a 22-week semester or an 8-week quarter must be treated as a nonstandard term, because a semester cannot contain more than 21 weeks and a quarter must include a minimum of nine weeks. Semesters, trimesters, or quarters are also considered to be nonstandard terms if academic progress is not measured in the manner normally associated with the type of term. For example, if a program is offered in 15-week semesters but measures academic progress in quarter credit hours, the semesters would be considered nonstandard terms.']","Volume 8, Chapter 3 provides detailed guidance on the disbursement rules for subscription-based programs by explaining that for the first two subscription periods, there is no requirement for students to complete a certain amount of coursework before receiving Title IV funds. However, for subsequent periods, students must complete a cumulative number of credit hours equal to the total of previously attended periods, excluding the most recent one. Additionally, it addresses the inclusion of clinical work in standard term periods by stating that clinical work can be included if all students must participate as a condition for licensure, the school has little control over the practicum's schedule, and credit hours are associated with the term where most training occurs. This ensures that terms with clinical work are not required to be considered nonstandard, even if they overlap with another term.",multi_hop_specific_query_synthesizer
"How do the principles outlined in Appendix A and Appendix B affect the disbursement of Title IV funds in clock-hour, non-term credit-hour, and subscription-based programs?","['<1-hop>\n\nboth the credit or clock hours and the weeks of instructional time in a payment period before receiving a disbursement of Pell Grant, FSEOG, TEACH Grant or Direct Loan funds for the next payment period. For the Direct Loan Program only, this same requirement applies to students who are enrolled in programs with nonstandard terms that are not substantially equal in length. Effect of Accelerated Progression on Disbursement Timing in a Clock-Hour or Non-Term Credit-Hour Program The Pell Grant or TEACH Grant amount that a student is eligible to receive for a payment period in a clock-hour or non- term credit-hour program is based on the number of hours and weeks in the scheduled payment periods for the program that are established at the beginning of the program based on the program length (as described earlier in this chapter). These scheduled payment periods do not change, regardless of a student9s rate of progression through a clock-hour or non-term credit-hour program. This means that if a student completes additional weeks of instructional time or hours while completing the other measure of a payment period, the actual number of weeks or hours that the student completes before a disbursement can be made for the next payment period may differ from the number of weeks or hours in the scheduled payment period used to determine the student9s grant amount for the payment period. Although a student9s completion of additional weeks or hours in a payment period has no effect on the scheduled payment periods for purposes of determining Pell Grant and TEACH Grant payment amounts, an undergraduate student who accelerates in a clock-hour or non-term credit-hour program may have reduced Direct Loan eligibility in the final academic year of a program. Specifically, if a student enrolled in a program that is greater than one academic year in length completes additional clock or credit hours prior to the final academic year of the program, this may result in a final period of study that contains fewer clock or credit hours than the number of hours in the program9s defined academic year. In this circumstance, the Direct Loan annual loan limit for an undergraduate student must be prorated (reduced). The principles described above are illustrated by the examples in Appendix A at the end of this chapter. For guidance on calculating Pell Grant and TEACH Grant awards for clock-hour and non-term credit-hour programs, see Volume 7. For information on Direct Loan annual loan limit proration and annual loan limit progression in clock-hour and non-term credit- hour programs, see Volume 8, Chapters 5 and 6. If your school is unable to determine when a student has successfully completed half of the credit or clock hours in a program, academic year, or remainder of a program, the student is considered to have begun the second payment period of the program, academic year, or remainder of a program at the later of the date (identified by your school) that the student has successfully completed: half of the academic coursework in the program, academic year, or remainder of the program; or half of the number of weeks of instructional time in the program, academic year, or remainder of the program.', '<2-hop>\n\nDisbursement Timing in Subscription-Based Programs For the first two subscription periods (terms) that a student attends in a subscription-based program, there is no requirement for the student to have completed a certain amount of coursework before receiving a disbursement of Title IV funds (the same as in any other term-based program using credit hours). However, to receive a disbursement of Title IV aid for each subsequent subscription period in the program, the student must have completed a cumulative number of credit hours equal to the total of the number of hours for which the student was enrolled in all previously attended subscription periods in the program, excluding the number of hours for which the student was enrolled in the most recently attended subscription period. For more detailed guidance on the disbursement rules for subscription-based programs, including examples, refer to Appendix B at the end of this chapter. Multiple Disbursements Within a Payment Period The regulations governing the Title IV programs generally permit schools to pay Title IV funds at such times and in such installments within each payment period as will best meet students9 needs. This gives schools the ability to apportion the payment if doing so will be in the best interest of the student. For example, if a payment period is particularly long, a school might choose to pay in multiple installments to the extent program requirements permit to ensure that a student will have funds to pay rent later in the payment period. If a school chooses to schedule multiple Direct Loan disbursements within a single payment period, the disbursements must be substantially equal. Note also that if the loan period for a Direct Loan is a single payment period, the loan must be disbursed in at least two installments unless the school qualifies for an exception to the multiple disbursement requirement. See Volume 8, Chapter 3 for more']","The principles outlined in Appendix A affect the disbursement of Title IV funds in clock-hour and non-term credit-hour programs by illustrating how accelerated progression can impact Direct Loan eligibility, specifically requiring proration of the annual loan limit if a student completes additional hours before the final academic year. Appendix B provides detailed guidance on disbursement rules for subscription-based programs, where students must complete a cumulative number of credit hours equal to those enrolled in previous periods to receive subsequent disbursements. Both appendices offer examples to clarify these regulations, ensuring compliance with Title IV disbursement requirements.",multi_hop_specific_query_synthesizer
